id_item,Nombre,Link
1,Aghanim's Shard,https://es.dotabuff.com/items/aghanims-shard
2,Aghanim's Scepter,https://es.dotabuff.com/items/aghanims-scepter
3,Magic Wand,https://es.dotabuff.com/items/magic-wand
4,Power Treads,https://es.dotabuff.com/items/power-treads
5,Blink Dagger,https://es.dotabuff.com/items/blink-dagger
6,Arcane Boots,https://es.dotabuff.com/items/arcane-boots
7,Black King Bar,https://es.dotabuff.com/items/black-king-bar
8,Phase Boots,https://es.dotabuff.com/items/phase-boots
9,Bracer,https://es.dotabuff.com/items/bracer
10,Glimmer Cape,https://es.dotabuff.com/items/glimmer-cape
11,Dust of Appearance,https://es.dotabuff.com/items/dust-of-appearance
12,Aether Lens,https://es.dotabuff.com/items/aether-lens
13,Null Talisman,https://es.dotabuff.com/items/null-talisman
14,Observer and Sentry Wards,https://es.dotabuff.com/items/observer-and-sentry-wards
15,Sange and Yasha,https://es.dotabuff.com/items/sange-and-yasha
16,Tranquil Boots,https://es.dotabuff.com/items/tranquil-boots
17,Blade Mail,https://es.dotabuff.com/items/blade-mail
18,Wraith Band,https://es.dotabuff.com/items/wraith-band
19,Manta Style,https://es.dotabuff.com/items/manta-style
20,Mind Breaker,https://es.dotabuff.com/items/mind-breaker
21,Vampiric,https://es.dotabuff.com/items/vampiric
22,Boots of Travel,https://es.dotabuff.com/items/boots-of-travel
23,Bottle,https://es.dotabuff.com/items/bottle
24,Quelling Blade,https://es.dotabuff.com/items/quelling-blade
25,Eul's Scepter of Divinity,https://es.dotabuff.com/items/euls-scepter-of-divinity
26,Iron Branch,https://es.dotabuff.com/items/iron-branch
27,Force Staff,https://es.dotabuff.com/items/force-staff
28,Hurricane Pike,https://es.dotabuff.com/items/hurricane-pike
29,Daedalus,https://es.dotabuff.com/items/daedalus
30,Quickened,https://es.dotabuff.com/items/quickened
31,Smoke of Deceit,https://es.dotabuff.com/items/smoke-of-deceit
32,Brawny,https://es.dotabuff.com/items/brawny
33,Tough,https://es.dotabuff.com/items/tough
34,Sentry Ward,https://es.dotabuff.com/items/sentry-ward
35,Alert,https://es.dotabuff.com/items/alert
36,Battle Fury,https://es.dotabuff.com/items/battle-fury
37,Mystical,https://es.dotabuff.com/items/mystical
38,Hand of Midas,https://es.dotabuff.com/items/hand-of-midas
39,Radiance,https://es.dotabuff.com/items/radiance
40,Magic Stick,https://es.dotabuff.com/items/magic-stick
41,Ogre Axe,https://es.dotabuff.com/items/ogre-axe
42,Desolator,https://es.dotabuff.com/items/desolator
43,Boots of Speed,https://es.dotabuff.com/items/boots-of-speed
44,Monkey King Bar,https://es.dotabuff.com/items/monkey-king-bar
45,Shiva's Guard,https://es.dotabuff.com/items/shivas-guard
46,Gale Guard,https://es.dotabuff.com/items/gale-guard
47,Linken's Sphere,https://es.dotabuff.com/items/linkens-sphere
48,Ninja Gear,https://es.dotabuff.com/items/ninja-gear
49,Serrated Shiv,https://es.dotabuff.com/items/serrated-shiv
50,Octarine Core,https://es.dotabuff.com/items/octarine-core
51,Butterfly,https://es.dotabuff.com/items/butterfly
52,Observer Ward,https://es.dotabuff.com/items/observer-ward
53,Nemesis Curse,https://es.dotabuff.com/items/nemesis-curse
54,Mjollnir,https://es.dotabuff.com/items/mjollnir
55,Wind Lace,https://es.dotabuff.com/items/wind-lace
56,Bloodthorn,https://es.dotabuff.com/items/bloodthorn
57,Harpoon,https://es.dotabuff.com/items/harpoon
58,Shadow Blade,https://es.dotabuff.com/items/shadow-blade
59,Silver Edge,https://es.dotabuff.com/items/silver-edge
60,Ghost Scepter,https://es.dotabuff.com/items/ghost-scepter
61,Orchid Malevolence,https://es.dotabuff.com/items/orchid-malevolence
62,Skull Basher,https://es.dotabuff.com/items/skull-basher
63,Satanic,https://es.dotabuff.com/items/satanic
